pair_id,story_id,event1_id,event2_id,weak_label,weak_label_source,weak_label_confidence,sentence_context
RV3_EXP_000004,F0006,EV2_0000095,EV2_0000096,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,泥鳅妈妈看到这些，就知道自己的孩子肯定在外面受了委屈，于是就上前问个究竟。
RV3_EXP_000007,F0008,EV2_0000158,EV2_0000159,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,然后她想起巴柏西曾担任消防队员，因此她也打电话给消防队长，问他是否能派一位穿制服的消防队员到医院来，在巴柏西临终前陪伴他。
RV3_EXP_000008,F0010,EV2_0000199,EV2_0000200,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,楚国村民发现，自己的瓜田像是每天都有人浇过水，感到很是奇怪，互相一问，谁也不知道是怎么回事。
RV3_EXP_000009,F0010,EV2_0000200,EV2_0000201,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,于是他们开始暗中观察，终于发现为他们的西瓜浇水的正是魏国的村民，楚国的村民大受感动。
RV3_EXP_000011,F0014,EV2_0000248,EV2_0000247,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.908,我一直以为自己是一个慷慨的人，因为我喜欢送东西给别人。
RV3_EXP_000012,F0015,EV2_0000294,EV2_0000295,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.758,２．钉子： 有一个男孩有着很坏的脾气，于是他的父亲就给了他一袋钉子；
RV3_EXP_000016,F0019,EV2_0000342,EV2_0000343,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.938,王冕看了非常喜爱，便想把它画下来，于是赶紧用身上的一点零用钱买了纸和笔来开始作画。
RV3_EXP_000017,F0019,EV2_0000343,EV2_0000344,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,王冕看了非常喜爱，便想把它画下来，于是赶紧用身上的一点零用钱买了纸和笔来开始作画。
RV3_EXP_000018,F0022,EV2_0000407,EV2_0000408,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.75,小蜜蜂感到很恶心，她想：看样子苍蝇是故意捉弄我!
RV3_EXP_000020,F0023,EV2_0000425,EV2_0000426,TEMPORAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,”朋友们先有礼貌地向猪妈妈打过招呼，然后一齐对小猪胖胖说：“我们是来和你告别的。
RV3_EXP_000026,F0031,EV2_0000566,EV2_0000567,TEMPORAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,”心灵美乌鸦(一只博爱善良爱助人为乐的灰乌鸦的雅号)大叫着跑出鸟群，它飞快地从自己身上拔下了一撮撮的羽毛扔给了落水的众蚁，然后心灵美乌鸦又飞到水面上叼起一片片趴有落水蚁的羽毛，把它们一个个的都轻轻地放在了平安的河岸上。
RV3_EXP_000027,F0031,EV2_0000567,EV2_0000568,TEMPORAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,”心灵美乌鸦(一只博爱善良爱助人为乐的灰乌鸦的雅号)大叫着跑出鸟群，它飞快地从自己身上拔下了一撮撮的羽毛扔给了落水的众蚁，然后心灵美乌鸦又飞到水面上叼起一片片趴有落水蚁的羽毛，把它们一个个的都轻轻地放在了平安的河岸上。
RV3_EXP_000033,F0032,EV2_0000621,EV2_0000622,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,”于是，水獭们走了，其他可以帮它的动物见到这种情形也不来理睬它了，免得自讨没趣。
RV3_EXP_000034,F0033,EV2_0000652,EV2_0000653,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,” 小野马们还是不太明白，但是他们知道了，那是一种本能，所以说不明白。
RV3_EXP_000038,F0036,EV2_0000711,EV2_0000712,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.9,” 判官经过调查了解，证明牛所说情况属实，于是牛也得到了轻罚。
RV3_EXP_000042,F0037,EV2_0000721,EV2_0000722,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.878,一次，楚庄王因为打了大胜仗，十分高兴，便在宫中设盛大晚宴，招待群臣，宫中一片热火朝天。
RV3_EXP_000043,F0037,EV2_0000726,EV2_0000727,TEMPORAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,许姬便顺手拔下那人的帽缨并赶快挣脱离开，然后许姬来到庄王身边告诉庄王说：“有人想趁黑暗调戏我，我已拔下了他的帽缨，请大王快吩咐点灯，看谁没有帽缨就把他抓起来处置。
RV3_EXP_000045,F0040,EV2_0000774,EV2_0000773,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,在很久以前，天庭里有一个爱捣蛋的小精灵，大家都因为他的捣蛋不喜欢他。
RV3_EXP_000048,F0041,EV2_0000830,EV2_0000831,TEMPORAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.788,”枪接着又问：“你们喜欢什么呢？
RV3_EXP_000053,F0046,EV2_0000982,EV2_0000983,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,” 儿子听了很高兴，心想，如果要比谁先跑到那棵树，肯定是父亲赢，但要是比谁走出的路线更直，那可就不一定了。
RV3_EXP_000058,F0050,EV2_0001072,EV2_0001073,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.75,”他高兴极了，正准备走捷径的时候，想起了老板的第一条忠告，于是他回到了原来的路上。
RV3_EXP_000059,F0051,EV2_0001127,EV2_0001128,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,它刚跑到那棵树下爬抓了几下，这棵树上的小狼又叫了起来。
RV3_EXP_000061,F0054,EV2_0001179,EV2_0001180,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.75,” 老虎并不知道百兽害怕的正是它自己，反而因此相信了狐狸的谎言。
RV3_EXP_000062,F0057,EV2_0001243,EV2_0001244,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.75,加上他们能够轻松的找到体面的职业，获得体面的收入，所以，不愿意风里来、雨里去做小生意，于是，他们失去很多创业的机会。
RV3_EXP_000064,F0059,EV2_0001288,EV2_0001289,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,这样寻思着，他走过去把洗衣服用的大木棒拿来，照准父亲头上的蚊子，抡起棒子，狠命地一棒打了过去。
RV3_EXP_000065,F0059,EV2_0001289,EV2_0001290,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,结果蚊子马上飞走了，没有被打中，他父亲却被当场打死了。
RV3_EXP_000066,F0059,EV2_0001290,EV2_0001291,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.81,结果蚊子马上飞走了，没有被打中，他父亲却被当场打死了。
RV3_EXP_000067,F0059,EV2_0001294,EV2_0001295,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.75,打蚊子用巴掌就已足够了，而且十分有效，大木棒不但没用反而还帮倒忙。
RV3_EXP_000073,F0064,EV2_0001393,EV2_0001394,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.75,于是他们来到中国某地农村，找到一位柿农，说要买他1000个柿子，请他把这些柿子从树上摘下来，并演示一下贮存的过程，谈好的价钱是1000个柿子给160元人民币，折合20美元。
RV3_EXP_000074,F0064,EV2_0001395,EV2_0001396,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,于是他们来到中国某地农村，找到一位柿农，说要买他1000个柿子，请他把这些柿子从树上摘下来，并演示一下贮存的过程，谈好的价钱是1000个柿子给160元人民币，折合20美元。
RV3_EXP_000075,F0064,EV2_0001399,EV2_0001400,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.758,这位柿农很高兴地同意了。
RV3_EXP_000076,F0064,EV2_0001400,EV2_0001401,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.788,于是他找来一个帮手，一人爬到柿子树上，用绑有弯钩的长杆，看准长得好的柿子用劲一拧，柿子就掉了下来。
RV3_EXP_000077,F0064,EV2_0001403,EV2_0001404,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.75,于是他找来一个帮手，一人爬到柿子树上，用绑有弯钩的长杆，看准长得好的柿子用劲一拧，柿子就掉了下来。
RV3_EXP_000081,F0064,EV2_0001417,EV2_0001418,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,那位柿农心里想。
RV3_EXP_000082,F0064,EV2_0001419,EV2_0001420,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,于是他很生气地说：“我的柿子很棒呢，质量好得很，你们没理由瞧不起它们。
RV3_EXP_000084,F0066,EV2_0001499,EV2_0001500,TEMPORAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,然后，大兔子躺在小兔子的旁边，小声地微笑着说：“我爱你，从这里一直到月亮，再…绕回来。
RV3_EXP_000085,F0069,EV2_0001563,EV2_0001564,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.758,然而，生活从来不会因为我的落魄而可怜我，内心本就脆弱的我，终于决定走掉，从这个城市消失。
RV3_EXP_000090,F0073,EV2_0001699,EV2_0001700,TEMPORAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,平时，隐鱼四处游动寻找海参，当发现目标时，便靠近海参并找准海参的肛门，然后转个身将尾部先插进去，不一会儿，它那细长的身子都钻进了海参体内。
RV3_EXP_000093,F0074,EV2_0001725,EV2_0001726,TEMPORAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,” 第四个说：“要我干活，我先游荡一小时，养足精力。
RV3_EXP_000095,F0075,EV2_0001774,EV2_0001775,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.758,于是，秦桧经常在高宗面前说赵鼎的坏话，使高宗对他逐渐失去信任。
RV3_EXP_000096,F0076,EV2_0001804,EV2_0001805,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.908,” 于是，小狗们拿起小石子，用力地向小猪扔去。
RV3_EXP_000097,F0078,EV2_0001831,EV2_0001832,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.9,”于是他爬了上去，看见天使们正忙着打晒燕麦呢，他不由地被这情景所吸引。
RV3_EXP_000098,F0078,EV2_0001839,EV2_0001840,TEMPORAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,在天堂中到处都扔着种庄稼的工具，他手忙脚乱地抓了一把镢头和一把木枷，然后顺着绳子爬了下来。
RV3_EXP_000099,F0078,EV2_0001840,EV2_0001841,TEMPORAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.9,在天堂中到处都扔着种庄稼的工具，他手忙脚乱地抓了一把镢头和一把木枷，然后顺着绳子爬了下来。
RV3_EXP_000100,F0080,EV2_0001864,EV2_0001865,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.788,小男孩知道妈妈工作压力大，所以心情不好才骂他。
RV3_EXP_000102,F0081,EV2_0001912,EV2_0001913,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.788,"最不获好评的是另一个男同学,因为他一个人现在还在商场没回来,老师笑着说,他可能还在找最好的方法,也可能是在等雨停。"
RV3_EXP_000103,F0081,EV2_0001917,EV2_0001918,TEMPORAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.788,"然后,老师认真地说,我想让你们明白,你们最终是要面对市场的,那里无处不是商机,你们在商机面前是平等的,职场发展与挣钱都是这个道理。"
RV3_EXP_000104,F0082,EV2_0001939,EV2_0001940,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,” 晏子离开座位，对着齐景公恭敬地回答说：“现在她是又老又丑，可我与她生活在一起已经很长时间了，因此也赶上过她又年轻又漂亮的年华。
RV3_EXP_000106,F0083,EV2_0001981,EV2_0001982,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,” 老婆婆大声笑着说：“我看不用，因为我们已经送给她一个空瓶子，只要她懂得用空瓶子去装那些不开心的事，我想她就会明白她今天的哭泣是多么的可笑。
RV3_EXP_000107,F0083,EV2_0001985,EV2_0001986,TEMPORAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.908,” 然后我听见远去的脚步声，我略有所悟的抬起头站了起来，擦干了脸上的泪痕，然后想着去买一个超大的瓶子，这么想的时候我竟然笑了出来。
RV3_EXP_000108,F0083,EV2_0001988,EV2_0001989,TEMPORAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,” 然后我听见远去的脚步声，我略有所悟的抬起头站了起来，擦干了脸上的泪痕，然后想着去买一个超大的瓶子，这么想的时候我竟然笑了出来。
RV3_EXP_000112,F0087,EV2_0002087,EV2_0002088,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,等他到了左边这座山的庙，看到他的老友之后大吃一惊，因为他的老友正在庙前打太极拳，一点也不像一个月没喝水的人。
RV3_EXP_000113,F0087,EV2_0002094,EV2_0002095,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,”于是他带着右边那座山的和尚走到庙的后院，指着一口井说：“这五年来，我每天做完功课后都会抽空挖这口井，即使有时很忙，能挖多少就算多少。
RV3_EXP_000114,F0088,EV2_0002103,EV2_0002104,TEMPORAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.788,” 公扈和齐婴回答道：“我们想听听这种病有些什么症状，然后再作决定。
RV3_EXP_000116,F0094,EV2_0002246,EV2_0002247,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.758,” 树说：“我死倒是极其容易，但这崖边便再无其他的树了，所以不能死呀。
RV3_EXP_000121,F0098,EV2_0002345,EV2_0002346,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,近来见大人双眉紧锁，知道必定是为国事操心，所以心中忧伤，但不敢询问。
RV3_EXP_000123,F0104,EV2_0002427,EV2_0002428,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,城里人说也不能让傻瓜们太吃亏，所以集体筹资5千万把地宫宝物全买下来。
RV3_EXP_000124,F0106,EV2_0002450,EV2_0002451,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.81,爱因斯坦的父亲看见杰克大叔的模样，新想自己的脸肯定和他一样脏，于是就到附近的小河里洗了又洗；
RV3_EXP_000126,F0107,EV2_0002465,EV2_0002466,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.81,工人觉得自己一下子变老了许多，感觉快走不动了，但他还是感到非常地高兴，因为一下子有了那么多的钱，不用觉得自己老了而可惜。
RV3_EXP_000128,F0113,EV2_0002593,EV2_0002594,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.758,” “我简直羞愧死了，想不到我送他来这里受训三个月，我所看到的结果是他这么不经打，被人一打就倒。
RV3_EXP_000129,F0113,EV2_0002594,EV2_0002595,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.9,” “我简直羞愧死了，想不到我送他来这里受训三个月，我所看到的结果是他这么不经打，被人一打就倒。
RV3_EXP_000130,F0113,EV2_0002596,EV2_0002597,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.81,” “我简直羞愧死了，想不到我送他来这里受训三个月，我所看到的结果是他这么不经打，被人一打就倒。
RV3_EXP_000132,F0114,EV2_0002623,EV2_0002624,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.9,请我们来吃饭，结果却叫我们挨饿。
RV3_EXP_000134,F0117,EV2_0002669,EV2_0002670,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,回到主人家中，小猫翻来覆去地想，当初自己学钓鱼，因为不专心，成为人们不专心学习的反面教员；
RV3_EXP_000139,F0124,EV2_0002802,EV2_0002803,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.788,“因为那些小动物们知道，狮子王不会瞧不起它们，更不会欺负它们，得到食物的时候，狮子王还会分一些给它身旁的跟随者。
RV3_EXP_000140,F0124,EV2_0002803,EV2_0002804,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.9,“因为那些小动物们知道，狮子王不会瞧不起它们，更不会欺负它们，得到食物的时候，狮子王还会分一些给它身旁的跟随者。
RV3_EXP_000141,F0124,EV2_0002804,EV2_0002805,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,“因为那些小动物们知道，狮子王不会瞧不起它们，更不会欺负它们，得到食物的时候，狮子王还会分一些给它身旁的跟随者。
RV3_EXP_000142,F0124,EV2_0002805,EV2_0002806,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,“因为那些小动物们知道，狮子王不会瞧不起它们，更不会欺负它们，得到食物的时候，狮子王还会分一些给它身旁的跟随者。
RV3_EXP_000147,F0127,EV2_0002911,EV2_0002912,TEMPORAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,到了卖柑橘的季节，她常常凌晨两三点钟就得起床，走十多里的山路，帮母亲把柑橘背到街上，然后再赶到学校上课。
RV3_EXP_000151,F0130,EV2_0002992,EV2_0002993,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,老虎回过头，无可奈何地望着树上的猫。
RV3_EXP_000154,F0132,EV2_0003058,EV2_0003057,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.908,在行进的过程中，能让你感兴趣的事物会不断变化，但你所能得到的东西却越来越少了，因为如果你想走完全程，想顺利达到目的地，总会眷恋身边迷人的事物，不顾轻重而只想得到。
RV3_EXP_000155,F0133,EV2_0003064,EV2_0003065,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.788,从前有个小牧童，由于别人无论问什么，他都能给出个聪明的回答，因而名声远扬。
RV3_EXP_000158,F0140,EV2_0003201,EV2_0003202,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.9,”公孙仪答道：“恰恰就是因为我爱吃鱼，我才不接受人家送的鱼。
RV3_EXP_000162,F0142,EV2_0003237,EV2_0003238,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,张三跟儿子张六说：孩子，其实我也很清楚贝贝是只会叫的狗，而卡卡则是—只会捕捉猎物的狗，在两只狗的合作中，卡卡有可能多出了—些力气，而贝贝则少出了点力，但当它们—旦分开，则往往—事无成。
RV3_EXP_000163,F0142,EV2_0003238,EV2_0003239,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,因为在捕猎时—般都需要—只狗叫唤，当猎物吓得失去了方向不知所措时，另—只狗则不动声色地绕到猎物的身后将其捕获，两者缺—不可啊。
RV3_EXP_000164,F0143,EV2_0003276,EV2_0003277,CAUSAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.9,” 胡狼和狼在洞时很安全，因为洞口小，狮子钻不进去，胡狼中洞里回答狮子：“大王，我俩的纠纷已经解决了，就不再麻烦您了，请您走您的路吧！
RV3_EXP_000165,F0145,EV2_0003314,EV2_0003315,TEMPORAL,RULE_EXPLICIT_HIGH_CONFIDENCE,0.78,”（洪业后来才知道，囚人抗日如不明说，就会挨打） “你为什么抗日？
